Data,Zamkniecie,Wolumen
2007-10-14,63813.9,446984027
2007-10-21,63132.7,313585496
2007-10-28,63366.3,296399831
2007-11-04,62154.6,179590716
2007-11-11,58222.8,408551052
2007-11-18,55517.6,455643403
2007-11-25,56094.4,548543835
2007-12-02,56680.3,490081257
2007-12-09,58635.8,838511585
2007-12-16,56871.4,518161372
2007-12-23,55792.5,721477616
2007-12-30,55648.5,206475523
2008-01-06,54850.7,252729524
2008-01-13,50400.8,734940369
2008-01-20,47128.7,873304422
2008-01-27,47522.1,829744129
2008-02-03,49092.2,714073171
2008-02-10,47589,498789528
2008-02-17,49309.4,557342649
2008-02-24,49320.2,396711365
2008-03-02,47522,305203447
2008-03-09,45792.5,387648813
2008-03-16,46239.4,309615681
2008-03-23,45903.7,301825565
2008-03-30,47936.7,229141748
2008-04-06,48615.5,285945946
2008-04-13,47064.2,231919384
2008-04-20,47477.1,296523526
2008-04-27,46265.3,345960630
2008-05-04,46691.8,118742864
2008-05-11,47598.7,187254056
2008-05-18,47960.4,245395789
2008-05-25,46573.9,212498842
2008-06-01,46624.4,233376302
2008-06-08,45819.4,233605689
2008-06-15,43623.3,257994944
2008-06-22,42987.4,264084294
2008-06-29,41373.8,216567065
2008-07-06,39584,282144086
2008-07-13,38927.9,311073005
2008-07-20,38847.3,346987339
2008-07-27,40640.4,342525809
2008-08-03,42017.9,472260047
2008-08-10,40651.8,324169921
2008-08-17,40903.5,188194066
2008-08-24,40411.3,300106100
2008-08-31,40481.8,219584460
2008-09-07,39913.5,291370444
2008-09-14,39121,200060881
2008-09-21,38361,385852269
2008-09-28,38460.5,337773042
2008-10-05,36830.3,556394640
2008-10-12,31041.4,493402043
2008-10-19,28624.8,404010283
2008-10-26,25291.4,394831796
2008-11-02,28397.1,417721751
2008-11-09,28427.3,426619744
2008-11-16,27110.6,257800106
2008-11-23,25388.8,394952708
2008-11-30,27130.1,496067564
2008-12-07,26980.5,286458344
2008-12-14,27318.7,350181909
2008-12-21,27222.2,346058089
2008-12-28,26776.3,105624335
2009-01-04,27228.6,124631089
2009-01-11,27680,466092687
2009-01-18,26177.1,625057868
2009-01-25,24798,392674733
2009-02-01,24685.4,278718410
2009-02-08,23914.4,396104528
2009-02-15,23555.5,427537980
2009-02-22,21831.6,425298928
2009-03-01,21690.8,290635038
2009-03-08,22948.5,397775750
2009-03-15,23176.7,430506122
2009-03-22,23581.9,405785540
2009-03-29,24813,674155771
2009-04-05,26152,856251708
2009-04-12,28017.8,631527915
2009-04-19,27390.5,693111869
2009-04-26,28319.9,621938101
2009-05-03,29018.6,427219196
2009-05-10,29698.4,892900933
2009-05-17,29424.4,493764409
2009-05-24,29399.6,564511210
2009-05-31,29322.7,442711556
2009-06-07,31399,463020991
2009-06-14,32362.7,287029099
2009-06-21,31556.2,494573146
2009-06-28,30262.5,401213954
2009-07-05,30105.1,394984705
2009-07-12,29611.5,712224060
2009-07-19,31544.7,433485271
2009-07-26,33997.1,447158958
2009-08-02,35261.9,480716549
2009-08-09,35422.9,479062350
2009-08-16,35811.3,477836830
2009-08-23,37915.4,409091932
2009-08-30,38232.1,524497525
2009-09-06,36191.6,486744457
2009-09-13,36649.3,489996697
2009-09-20,36870.4,426552162
2009-09-27,38214.6,652448831
2009-10-04,37045.6,410168494
2009-10-11,38017,306648247
2009-10-18,38470.3,468458788
2009-10-25,40262.9,363915019
2009-11-01,38427.6,379100934
2009-11-08,38524.6,319173276
2009-11-15,39782.5,334953189
2009-11-22,39574.2,542558283
2009-11-29,39083.1,407100812
2009-12-06,40852.9,296405882
2009-12-13,39463.1,270410137
2009-12-20,39399.5,298912287
2009-12-27,39686.2,208700195
2010-01-03,39986,236595619
2010-01-10,40921.9,349536812
2010-01-17,40990.5,401883757
2010-01-24,40467.2,501283326
2010-01-31,40058.3,293236973
2010-02-07,37502.9,325085008
2010-02-14,37933,530557805
2010-02-21,38650,381472811
2010-02-28,38708.6,363086084
2010-03-07,40354.3,554481757
2010-03-14,41253.6,580156227
2010-03-21,41611.7,1027860905
2010-03-28,42395.5,523529317
2010-04-04,43151.3,324025979
2010-04-11,43262.2,342728228
2010-04-18,43912.6,511797468
2010-04-25,42810,428511500
2010-05-02,43295.2,292535437
2010-05-09,39923.6,329822293
2010-05-16,41075.4,468373793
2010-05-23,39580.6,530025943
2010-05-30,41409.2,500297263
2010-06-06,40451.2,297194053
2010-06-13,40635.6,315237621
2010-06-20,40761.7,463839503
2010-06-27,40376.8,366843911
2010-07-04,39805.4,322823944
